X measured,X true,Z measured,Z true,X error,X absolute error,Z error,Z absolute error
,,288,300,,,-12,12
,,288,300,,,-12,12
,,288,300,,,-12,12
,,289,300,,,-11,11
,,295,300,,,-5,5
,,295,300,,,-5,5
-7,0,300,300,-7,7,0,0
-7,0,301,300,-7,7,1,1
,,378,300,,,78,78
,,380,300,,,80,80
,,383,300,,,83,83
,,422,300,,,122,122
13,0,598,600,13,13,-2,2
18,0,598,600,18,18,-2,2
10,0,601,600,10,10,1,1
15,0,602,600,15,15,2,2
15,0,606,600,15,15,6,6
,,630,600,,,30,30
,,630,600,,,30,30
,,632,600,,,32,32
,,640,600,,,40,40
,,655,600,,,55,55
6,0,900,900,6,6,0,0
,,900,900,,,0,0
,,901,900,,,1,1
11,0,903,900,11,11,3,3
5,0,904,900,5,5,4,4
10,0,905,900,10,10,5,5
,,908,900,,,8,8
8,0,909,900,8,8,9,9
,,909,900,,,9,9
,,922,900,,,22,22
422,650,923,900,-228,228,23,23
,,923,900,,,23,23
424,650,926,900,-226,226,26,26
423,650,927,900,-227,227,27,27
426,650,928,900,-224,224,28,28
432,650,934,900,-218,218,34,34
-455,-650,962,900,195,195,62,62
-453,-650,962,900,197,197,62,62
-460,-650,963,900,190,190,63,63
-459,-650,964,900,191,191,64,64
-458,-650,968,900,192,192,68,68
-463,-650,969,900,187,187,69,69
,,982,900,,,82,82
,,985,900,,,85,85
,,986,900,,,86,86
,,987,900,,,87,87
,,988,900,,,88,88
,,990,900,,,90,90
,,991,900,,,91,91
,,992,900,,,92,92
,,999,900,,,99,99
,,1026,900,,,126,126
,,1027,900,,,127,127
,,1029,900,,,129,129
9,0,1187,1200,9,9,-13,13
506,650,1187,1200,-144,144,-13,13
3,0,1188,1200,3,3,-12,12
5,0,1189,1200,5,5,-11,11
9,0,1189,1200,9,9,-11,11
509,650,1189,1200,-141,141,-11,11
501,650,1192,1200,-149,149,-8,8
509,650,1192,1200,-141,141,-8,8
505,650,1194,1200,-145,145,-6,6
511,650,1194,1200,-139,139,-6,6
11,0,1196,1200,11,11,-4,4
,,1199,1200,,,-1,1
9,0,1201,1200,9,9,1,1
,,1206,1200,,,6,6
,,1206,1200,,,6,6
-531,-650,1211,1200,119,119,11,11
-532,-650,1212,1200,118,118,12,12
-532,-650,1213,1200,118,118,13,13
-533,-650,1215,1200,117,117,15,15
,,1218,1200,,,18,18
,,1223,1200,,,23,23
,,1223,1200,,,23,23
,,1223,1200,,,23,23
,,1230,1200,,,30,30
,,1238,1200,,,38,38
,,1238,1200,,,38,38
,,1244,1200,,,44,44
,,1246,1200,,,46,46
,,1266,1200,,,66,66
,,1271,1200,,,71,71
,,1271,1200,,,71,71
,,1295,1200,,,95,95
,,1301,1200,,,101,101
,,1301,1200,,,101,101
-597,-650,1446,1500,53,53,-54,54
-591,-650,1449,1500,59,59,-51,51
-595,-650,1453,1500,55,55,-47,47
-600,-650,1456,1500,50,50,-44,44
-598,-650,1456,1500,52,52,-44,44
-595,-650,1456,1500,55,55,-44,44
574,650,1463,1500,-76,76,-37,37
576,650,1463,1500,-74,74,-37,37
577,650,1463,1500,-73,73,-37,37
-24,0,1467,1500,-24,24,-33,33
-22,0,1467,1500,-22,22,-33,33
-21,0,1467,1500,-21,21,-33,33
-16,0,1467,1500,-16,16,-33,33
,,1467,1500,,,-33,33
-23,0,1470,1500,-23,23,-30,30
572,650,1470,1500,-78,78,-30,30
588,650,1470,1500,-62,62,-30,30
,,1470,1500,,,-30,30
,,1474,1500,,,-26,26
,,1474,1500,,,-26,26
,,1474,1500,,,-26,26
,,1474,1500,,,-26,26
,,1474,1500,,,-26,26
,,1477,1500,,,-23,23
,,1477,1500,,,-23,23
,,1477,1500,,,-23,23
,,1488,1500,,,-12,12
,,1492,1500,,,-8,8
,,1495,1500,,,-5,5
,,1495,1500,,,-5,5
,,1495,1500,,,-5,5
,,1499,1500,,,-1,1
,,1518,1500,,,18,18
,,1522,1500,,,22,22
,,1728,1800,,,-72,72
,,1743,1800,,,-57,57
,,1743,1800,,,-57,57
,,1743,1800,,,-57,57
,,1748,1800,,,-52,52
-616,-650,1753,1800,34,34,-47,47
-615,-650,1753,1800,35,35,-47,47
21,0,1753,1800,21,21,-47,47
606,650,1753,1800,-44,44,-47,47
611,650,1756,1800,-39,39,-44,44
-618,-650,1758,1800,32,32,-42,42
16,0,1758,1800,16,16,-42,42
18,0,1758,1800,18,18,-42,42
21,0,1758,1800,21,21,-42,42
610,650,1758,1800,-40,40,-42,42
616,650,1758,1800,-34,34,-42,42
-620,-650,1760,1800,30,30,-40,40
,,1760,1800,,,-40,40
-621,-650,1763,1800,29,29,-37,37
-620,-650,1763,1800,30,30,-37,37
618,650,1763,1800,-32,32,-37,37
,,1763,1800,,,-37,37
610,650,1766,1800,-40,40,-34,34
,,1769,1800,,,-31,31
,,1769,1800,,,-31,31
,,1774,1800,,,-26,26
,,1774,1800,,,-26,26
,,1779,1800,,,-21,21
,,1782,1800,,,-18,18
,,1784,1800,,,-16,16
,,1784,1800,,,-16,16
,,1800,1800,,,0,0
,,1805,1800,,,5,5
,,1805,1800,,,5,5
,,1832,1800,,,32,32
,,1832,1800,,,32,32
,,1838,1800,,,38,38
,,1975,2100,,,-125,125
-591,-650,1990,2100,59,59,-110,110
,,1994,2100,,,-106,106
,,2007,2100,,,-93,93
584,650,2014,2100,-66,66,-86,86
589,650,2014,2100,-61,61,-86,86
598,650,2027,2100,-52,52,-73,73
-609,-650,2034,2100,41,41,-66,66
,,2038,2100,,,-62,62
608,650,2041,2100,-42,42,-59,59
,,2041,2100,,,-59,59
999,1230,2047,2100,-231,231,-53,53
-604,-650,2054,2100,46,46,-46,46
,,2054,2100,,,-46,46
,,2054,2100,,,-46,46
,,2054,2100,,,-46,46
,,2054,2100,,,-46,46
,,2058,2100,,,-42,42
,,2061,2100,,,-39,39
,,2061,2100,,,-39,39
,,2061,2100,,,-39,39
,,2061,2100,,,-39,39
-611,-650,2072,2100,39,39,-28,28
613,650,2075,2100,-37,37,-25,25
1039,1230,2075,2100,-191,191,-25,25
-1,0,2097,2100,-1,1,-3,3
3,0,2100,2100,3,3,0,0
608,650,2104,2100,-42,42,4,4
1016,1230,2104,2100,-214,214,4,4
1018,1230,2104,2100,-212,212,4,4
-1,0,2108,2100,-1,1,8,8
1031,1230,2108,2100,-199,199,8,8
-1,0,2111,2100,-1,1,11,11
3,0,2111,2100,3,3,11,11
,,2111,2100,,,11,11
-626,-650,2112,2100,24,24,12,12
-635,-650,2115,2100,15,15,15,15
-1078,-1230,2119,2100,152,152,19,19
